Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
eMBB,7,10,88,91.35802275,4687.166667,15,80
eMBB,7,11,88,93.2774646,4687.166667,15,80
eMBB,7,12,88,58.72654189,4687.166667,15,80
eMBB,7,13,88,86.1983723,4687.166667,15,80
eMBB,7,14,88,92.66071266,4687.166667,15,80
eMBB,7,15,88,54.90494266,4687.166667,15,80
eMBB,7,16,88,83.02146449,4687.166667,15,80
eMBB,7,17,88,87.11217816,4687.166667,15,80
eMBB,7,18,88,55.80961869,4687.166667,15,80
eMBB,7,19,88,54.24416056,4687.166667,15,80
eMBB,7,20,88,90.52539608,4687.166667,15,80
eMBB,8,1,95.66666667,79.38010328,0,15,20
eMBB,8,2,95.66666667,87.59777411,869.3333333,15,40
eMBB,8,3,95.66666667,66.73945423,1295.5,15,80
eMBB,8,4,95.66666667,94.62429743,2422.333333,15,80
eMBB,8,5,95.66666667,51.45242369,2841.833333,15,80
eMBB,8,6,95.66666667,65.34387852,3057.666667,15,80
eMBB,8,7,95.66666667,60.03523523,4331.666667,15,80
eMBB,8,8,95.66666667,64.08853012,4637.166667,15,80
eMBB,8,9,95.66666667,78.16822072,8381.166667,15,80
eMBB,8,10,95.66666667,79.80641635,9714.333333,15,80
eMBB,8,11,95.66666667,95.41457109,10249,15,80
eMBB,8,12,95.66666667,55.89690264,11668.5,15,80
eMBB,8,13,95.66666667,91.66786804,13297,15,80
eMBB,8,14,95.66666667,68.56846038,13599.5,15,80
eMBB,8,15,95.66666667,66.36381583,14824,15,80
eMBB,8,16,95.66666667,64.59305018,14824,15,80
eMBB,8,17,95.66666667,72.71929416,14824,15,80
eMBB,8,18,95.66666667,85.97414049,14824,15,80
eMBB,8,19,95.66666667,79.33514179,14824,15,80
eMBB,8,20,95.66666667,88.38502757,14824,15,80
eMBB,9,1,89.83333333,67.58777512,0,15,20
eMBB,9,2,89.83333333,55.30488728,857.5,15,40
eMBB,9,3,89.83333333,94.2504583,1839.833333,15,80
eMBB,9,4,89.83333333,85.62078767,3728.666667,15,80
eMBB,9,5,89.83333333,82.00112414,3728.666667,15,80
eMBB,9,6,89.83333333,59.79878885,3728.666667,15,80
eMBB,9,7,89.83333333,52.18882696,6061.666667,15,80
eMBB,9,8,89.83333333,58.82689495,6848.5,15,80
eMBB,9,9,89.83333333,83.08223813,7439.333333,15,80
eMBB,9,10,89.83333333,83.53611056,7439.333333,15,80
eMBB,9,11,89.83333333,68.49181631,7439.333333,15,80
eMBB,9,12,89.83333333,64.80246269,7439.333333,15,80
eMBB,9,13,89.83333333,88.65509197,7439.333333,15,80
eMBB,9,14,89.83333333,98.95428268,7439.333333,15,80
eMBB,9,15,89.83333333,85.57919786,7439.333333,15,80
eMBB,9,16,89.83333333,84.1043912,7439.333333,15,80
eMBB,9,17,89.83333333,74.62090919,7439.333333,15,80
eMBB,9,18,89.83333333,62.53115802,7439.333333,15,80
eMBB,9,19,89.83333333,63.2258261,7439.333333,15,80
eMBB,9,20,89.83333333,78.92089117,7439.333333,15,80
eMBB,10,1,93.5,80.35778151,0,15,20
eMBB,10,2,93.5,96.9068274,869.3333333,15,40
eMBB,10,3,93.5,84.43738977,1942.166667,15,80
eMBB,10,4,93.5,60.54083745,3242.833333,15,80
eMBB,10,5,93.5,52.38522142,6019.333333,15,80
eMBB,10,6,93.5,94.00346934,8363,15,80
eMBB,10,7,93.5,85.5561797,8969,15,80
eMBB,10,8,93.5,67.46953841,9521,15,80
eMBB,10,9,93.5,94.58236884,9937.833333,15,80
eMBB,10,10,93.5,65.26061802,9937.833333,15,80
eMBB,10,11,93.5,75.78377659,9937.833333,15,80
eMBB,10,12,93.5,87.25655529,9937.833333,15,80
eMBB,10,13,93.5,70.30458621,9937.833333,15,80
eMBB,10,14,93.5,77.10965334,9937.833333,15,80
eMBB,10,15,93.5,55.05626096,9937.833333,15,80
eMBB,10,16,93.5,82.46612283,9937.833333,15,80
eMBB,10,17,93.5,78.44998607,9937.833333,15,80
eMBB,10,18,93.5,72.04142288,9937.833333,15,80
eMBB,10,19,93.5,62.21121099,9937.833333,15,80
eMBB,10,20,93.5,93.20307728,9937.833333,15,80
mMTC,1,1,40.7,111.737349,0,14,20
mMTC,1,2,40.7,171.3068784,2.9,13,20
mMTC,1,3,40.7,118.2118132,4,12,20
mMTC,1,4,40.7,257.518731,7.4,11,20
mMTC,1,5,40.7,152.3903339,10.5,10,20
mMTC,1,6,40.7,141.5797446,13.8,9,20
mMTC,1,7,40.7,136.6381195,16.7,8,20
mMTC,1,8,40.7,267.2752886,20.1,7,20
mMTC,1,9,40.7,220.9214535,23.6,6,20
mMTC,1,10,40.7,224.136105,27.2,5,20
mMTC,1,11,40.7,276.5493532,30.5,5,20
mMTC,1,12,40.7,178.8052131,33.3,5,20
mMTC,1,13,40.7,182.4317074,35.8,5,20
mMTC,1,14,40.7,236.7302332,39.2,5,20
mMTC,1,15,40.7,177.8744013,42.5,5,20
mMTC,1,16,40.7,134.0572574,45.3,5,20
mMTC,1,17,40.7,147.3095095,48.7,5,20
mMTC,1,18,40.7,221.633097,52,5,20
mMTC,1,19,40.7,211.9151115,53.8,5,20
mMTC,1,20,40.7,252.4387424,53.8,5,20
mMTC,2,1,39,160.2812543,0,14,20
mMTC,2,2,39,218.0012194,2.8,13,20
mMTC,2,3,39,271.2648317,6,12,20
