Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
5,7,55.611111111111114,1722.0777777777778,2703.722222222222,15,20
5,8,55.611111111111114,2009.1055555555554,2822.777777777778,15,20
5,9,55.611111111111114,2296.1222222222223,2824.6111111111113,15,20
5,10,55.611111111111114,2583.133333333333,3074.1666666666665,15,20
5,11,55.611111111111114,2870.1555555555556,3075.277777777778,15,20
5,12,55.611111111111114,3157.1833333333334,3077.0555555555557,15,20
5,13,55.611111111111114,3444.1944444444443,3078.8333333333335,15,20
5,14,55.611111111111114,3731.2444444444445,3080.777777777778,15,20
5,15,55.611111111111114,4018.25,3082.5555555555557,15,20
5,16,55.611111111111114,4305.277777777778,3084.4444444444443,15,20
5,17,55.611111111111114,4592.283333333334,3086.222222222222,15,20
5,18,55.611111111111114,4879.316666666667,3087.6666666666665,15,20
5,19,55.611111111111114,5166.333333333334,3089.4444444444443,15,20
